COUNTRY CODE;NUTS LEVEL;NUTS CODE;NUTS LABEL;;;
IT;2;ITH2;Provincia Autonoma di Trento;http://www.wikidata.org/entity/Q16289;Point(11.173055555556 46.445555555556);https://linkedopendata.eu/entity/Q252821
IT;2;ITH3;Veneto;http://www.wikidata.org/entity/Q1243;Point(11.85 45.733333333333);https://linkedopendata.eu/entity/Q2469
IT;2;ITH4;Friuli-Venezia Giulia;http://www.wikidata.org/entity/Q1250;Point(13.116666666667 46.1);https://linkedopendata.eu/entity/Q2455
IT;2;ITH5;Emilia-Romagna;http://www.wikidata.org/entity/Q1263;Point(11 44.75);https://linkedopendata.eu/entity/Q252819
IT;2;ITI1;Toscana;http://www.wikidata.org/entity/Q1273;Point(11.016666666667 43.35);https://linkedopendata.eu/entity/Q293183
IT;2;ITI2;Umbria;http://www.wikidata.org/entity/Q1280;Point(12.566666666667 42.983333333333);https://linkedopendata.eu/entity/Q257738
IT;2;ITI3;Marche;http://www.wikidata.org/entity/Q1279;Point(13 43.316666666667);https://linkedopendata.eu/entity/Q260998
IT;2;ITI4;Lazio;http://www.wikidata.org/entity/Q1282;Point(12.716666666667 41.9);https://linkedopendata.eu/entity/Q2456
PL;2;PL21;Małopolskie;http://www.wikidata.org/entity/Q54159;Point(20.266666666 49.85);https://linkedopendata.eu/entity/Q2526456
PL;2;PL22;Śląskie;http://www.wikidata.org/entity/Q54181;Point(19.1603092 49.9249289);https://linkedopendata.eu/entity/Q2166
PL;2;PL41;Wielkopolskie;http://www.wikidata.org/entity/Q54187;Point(17.233333333 52.333333333);https://linkedopendata.eu/entity/Q2539321
PL;2;PL42;Zachodniopomorskie;http://www.wikidata.org/entity/Q54188;Point(15.533333333 53.6);https://linkedopendata.eu/entity/Q2517613
PL;2;PL43;Lubuskie;http://www.wikidata.org/entity/Q54157;Point(15.333333333 52.183333333);https://linkedopendata.eu/entity/Q2520476
PL;2;PL51;Dolnośląskie;http://www.wikidata.org/entity/Q54150;Point(16.383333333 51.083333333);https://linkedopendata.eu/entity/Q2519009
PL;2;PL52;Opolskie;http://www.wikidata.org/entity/Q54171;Point(17.9 50.633333333);https://linkedopendata.eu/entity/Q2161
PL;2;PL61;Kujawsko-pomorskie;http://www.wikidata.org/entity/Q54153;Point(18.483333333 53.066666666);https://linkedopendata.eu/entity/Q2520143
PL;2;PL62;Warmińsko-mazurskie;http://www.wikidata.org/entity/Q54184;Point(20.816666666 53.85);https://linkedopendata.eu/entity/Q2536796
PL;2;PL63;Pomorskie;http://www.wikidata.org/entity/Q54180;Point(18.0 54.183333333);https://linkedopendata.eu/entity/Q2164
PL;2;PL71;Łódzkie;http://www.wikidata.org/entity/Q54158;Point(19.416666666667 51.6);https://linkedopendata.eu/entity/Q2155
PL;2;PL72;Świętokrzyskie;http://www.wikidata.org/entity/Q54183;Point(20.766666666667 50.75);https://linkedopendata.eu/entity/Q2516123
PL;2;PL81;Lubelskie;http://www.wikidata.org/entity/Q54155;Point(22.9 51.216666666);https://linkedopendata.eu/entity/Q2158
PL;2;PL82;Podkarpackie;http://www.wikidata.org/entity/Q54175;Point(22.166666666 49.95);https://linkedopendata.eu/entity/Q2509343
PL;2;PL84;Podlaskie;http://www.wikidata.org/entity/Q54177;Point(22.931938888 53.267219444);https://linkedopendata.eu/entity/Q2167
PL;2;PL91;Warszawski stołeczny;http://www.wikidata.org/entity/Q541778;Point(20.9957636 52.2266308);https://linkedopendata.eu/entity/Q2576736
PL;2;PL92;Mazowiecki regionalny;http://www.wikidata.org/entity/Q541779;Point(20.9957636 52.2266308);https://linkedopendata.eu/entity/Q2576721
