;COUNTRY CODE;NUTS LEVEL;NUTS CODE;NUTS LABEL;;;URL
59;IT;2;ITH3;Veneto;http://www.wikidata.org/entity/Q1243;Point(11.85 45.733333333333);https://linkedopendata.eu/entity/Q2469
60;IT;2;ITH4;Friuli-Venezia Giulia;http://www.wikidata.org/entity/Q1250;Point(13.116666666667 46.1);https://linkedopendata.eu/entity/Q2455
61;IT;2;ITH5;Emilia-Romagna;http://www.wikidata.org/entity/Q1263;Point(11 44.75);https://linkedopendata.eu/entity/Q2454
62;IT;2;ITI1;Toscana;http://www.wikidata.org/entity/Q1273;Point(11.016666666667 43.35);https://linkedopendata.eu/entity/Q2465
63;IT;2;ITI2;Umbria;http://www.wikidata.org/entity/Q1280;Point(12.566666666667 42.983333333333);https://linkedopendata.eu/entity/Q2467
64;IT;2;ITI3;Marche;http://www.wikidata.org/entity/Q1279;Point(13 43.316666666667);https://linkedopendata.eu/entity/Q2459
65;IT;2;ITI4;Lazio;http://www.wikidata.org/entity/Q1282;Point(12.716666666667 41.9);https://linkedopendata.eu/entity/Q2456
66;PL;2;PL21;Małopolskie;http://www.wikidata.org/entity/Q54159;Point(20.266666666 49.85);https://linkedopendata.eu/entity/Q2157
67;PL;2;PL22;Śląskie;http://www.wikidata.org/entity/Q54181;Point(19.1603092 49.9249289);https://linkedopendata.eu/entity/Q2166
68;PL;2;PL41;Wielkopolskie;http://www.wikidata.org/entity/Q54187;Point(17.233333333 52.333333333);https://linkedopendata.eu/entity/Q2169
69;PL;2;PL42;Zachodniopomorskie;http://www.wikidata.org/entity/Q54188;Point(15.533333333 53.6);https://linkedopendata.eu/entity/Q2168
70;PL;2;PL43;Lubuskie;http://www.wikidata.org/entity/Q54157;Point(15.333333333 52.183333333);https://linkedopendata.eu/entity/Q2163
71;PL;2;PL51;Dolnośląskie;http://www.wikidata.org/entity/Q54150;Point(16.383333333 51.083333333);https://linkedopendata.eu/entity/Q2154
72;PL;2;PL52;Opolskie;http://www.wikidata.org/entity/Q54171;Point(17.9 50.633333333);https://linkedopendata.eu/entity/Q2161
73;PL;2;PL61;Kujawsko-pomorskie;http://www.wikidata.org/entity/Q54153;Point(18.483333333 53.066666666);https://linkedopendata.eu/entity/Q2160
74;PL;2;PL62;Warmińsko-mazurskie;http://www.wikidata.org/entity/Q54184;Point(20.816666666 53.85);https://linkedopendata.eu/entity/Q2165
75;PL;2;PL63;Pomorskie;http://www.wikidata.org/entity/Q54180;Point(18.0 54.183333333);https://linkedopendata.eu/entity/Q2164
76;PL;2;PL71;Łódzkie;http://www.wikidata.org/entity/Q54158;Point(19.416666666667 51.6);https://linkedopendata.eu/entity/Q2155
77;PL;2;PL72;Świętokrzyskie;http://www.wikidata.org/entity/Q54183;Point(20.766666666667 50.75);https://linkedopendata.eu/entity/Q2156
78;PL;2;PL81;Lubelskie;http://www.wikidata.org/entity/Q54155;Point(22.9 51.216666666);https://linkedopendata.eu/entity/Q2158
79;PL;2;PL82;Podkarpackie;http://www.wikidata.org/entity/Q54175;Point(22.166666666 49.95);https://linkedopendata.eu/entity/Q2162
80;PL;2;PL84;Podlaskie;http://www.wikidata.org/entity/Q54177;Point(22.931938888 53.267219444);https://linkedopendata.eu/entity/Q2167
81;PL;2;PL91;Warszawski stołeczny;http://www.wikidata.org/entity/Q541778;Point(20.9957636 52.2266308);https://linkedopendata.eu/entity/Q2576736
82;PL;2;PL92;Mazowiecki regionalny;http://www.wikidata.org/entity/Q541779;Point(20.9957636 52.2266308);https://linkedopendata.eu/entity/Q2576721
