COUNTRY CODE;NUTS LEVEL;NUTS CODE;NUTS LABEL;;;;;;
PL;2;PL21;Małopolskie;http://www.wikidata.org/entity/Q54159;Point(20.266666666 49.85);;;;
PL;2;PL22;Śląskie;http://www.wikidata.org/entity/Q54181;Point(19.1603092 49.9249289);;;;
PL;2;PL41;Wielkopolskie;http://www.wikidata.org/entity/Q54187;Point(17.233333333 52.333333333);;;;
PL;2;PL42;Zachodniopomorskie;http://www.wikidata.org/entity/Q54188;Point(15.533333333 53.6);;;;
PL;2;PL43;Lubuskie;http://www.wikidata.org/entity/Q54157;Point(15.333333333 52.183333333);;;;
PL;2;PL51;Dolnośląskie;http://www.wikidata.org/entity/Q54150;Point(16.383333333 51.083333333);;;;
PL;2;PL52;Opolskie;http://www.wikidata.org/entity/Q54171;Point(17.9 50.633333333);;;;
PL;2;PL61;Kujawsko-pomorskie;http://www.wikidata.org/entity/Q54153;Point(18.483333333 53.066666666);;;;
PL;2;PL62;Warmińsko-mazurskie;http://www.wikidata.org/entity/Q54184;Point(20.816666666 53.85);;;;
PL;2;PL63;Pomorskie;http://www.wikidata.org/entity/Q54180;Point(18.0 54.183333333);;;;
PL;2;PL71;Łódzkie;http://www.wikidata.org/entity/Q54158;Point(19.416666666667 51.6);;;;
PL;2;PL72;Świętokrzyskie;http://www.wikidata.org/entity/Q54183;Point(20.766666666667 50.75);;;;
PL;2;PL81;Lubelskie;http://www.wikidata.org/entity/Q54155;Point(22.9 51.216666666);;;;
PL;2;PL82;Podkarpackie;http://www.wikidata.org/entity/Q54175;Point(22.166666666 49.95);;;;
PL;2;PL84;Podlaskie;http://www.wikidata.org/entity/Q54177;Point(22.931938888 53.267219444);;;;
PL;2;PL91;Warszawski stołeczny;http://www.wikidata.org/entity/Q541778;Point(20.9957636 52.2266308);;;;
PL;2;PL92;Mazowiecki regionalny;http://www.wikidata.org/entity/Q541779;Point(20.9957636 52.2266308);;;;
